order_item_id,order_id,product_id,quantity,unit_price,line_total,discount_amount
1_1,1,275,3,503.65,1510.9499999999998,0
1_2,1,278,1,912.52,912.52,0
1_3,1,152,3,64.11,192.32999999999998,0
1_4,1,39,2,360.19,720.38,0
1_5,1,198,2,486.8,973.6,0
2_1,2,462,3,294.53,883.5899999999999,0
2_2,2,167,1,992.35,992.35,0
2_3,2,165,1,953.28,953.28,0
3_1,3,358,2,308.04,616.08,0
3_2,3,59,3,431.81,1295.43,0
3_3,3,48,1,681.52,681.52,0
3_4,3,143,1,23.07,23.07,0
4_1,4,412,3,193.44,580.3199999999999,0
5_1,5,146,1,714.28,714.28,0
5_2,5,210,3,308.92,926.76,0
5_3,5,188,2,491.42,982.84,0
5_4,5,168,1,453.0,453.0,0
5_5,5,301,2,762.87,1525.74,0
6_1,6,41,2,746.47,1492.94,0
6_2,6,399,2,853.5,1707.0,0
6_3,6,61,3,423.88,1271.6399999999999,0
7_1,7,146,3,714.28,2142.84,0
7_2,7,436,3,443.56,1330.68,0
7_3,7,143,3,23.07,69.21000000000001,0
7_4,7,349,1,835.76,835.76,0
8_1,8,118,2,608.45,1216.9,0
8_2,8,432,1,931.92,931.92,0
9_1,9,199,1,442.41,442.41,0
9_2,9,237,3,161.51,484.53,0
9_3,9,349,3,835.76,2507.2799999999997,0
9_4,9,145,3,834.34,2503.02,0
9_5,9,409,3,95.15,285.45000000000005,0
10_1,10,369,1,598.39,598.39,0
10_2,10,306,1,155.81,155.81,0
10_3,10,130,1,717.76,717.76,0
10_4,10,434,3,556.96,1670.88,0
10_5,10,90,3,724.85,2174.55,0
11_1,11,481,2,511.86,1023.72,0
11_2,11,53,2,784.88,1569.76,0
12_1,12,322,2,321.95,643.9,0
12_2,12,324,3,30.61,91.83,0
13_1,13,351,3,163.48,490.43999999999994,0
14_1,14,85,2,55.15,110.3,0
14_2,14,61,1,423.88,423.88,0
15_1,15,65,2,105.91,211.82,0
15_2,15,484,2,333.27,666.54,0
15_3,15,301,1,762.87,762.87,0
16_1,16,380,3,444.73,1334.19,0
17_1,17,306,3,155.81,467.43,0
18_1,18,246,1,419.6,419.6,0
18_2,18,291,3,925.6,2776.8,0
18_3,18,159,3,980.73,2942.19,0
19_1,19,66,3,337.89,1013.67,0
19_2,19,494,2,477.6,955.2,0
19_3,19,500,1,609.16,609.16,0
20_1,20,301,1,762.87,762.87,0
20_2,20,332,3,713.05,2139.1499999999996,0
21_1,21,323,3,150.41,451.23,0
22_1,22,446,3,870.27,2610.81,0
22_2,22,32,3,335.26,1005.78,0
23_1,23,462,2,294.53,589.06,0
23_2,23,231,1,137.57,137.57,0
24_1,24,297,2,650.65,1301.3,0
24_2,24,266,2,358.72,717.44,0
24_3,24,283,1,305.45,305.45,0
25_1,25,144,3,608.12,1824.3600000000001,0
25_2,25,449,2,912.92,1825.84,0
26_1,26,464,3,960.69,2882.07,0
27_1,27,457,1,546.12,546.12,0
27_2,27,367,2,468.17,936.34,0
28_1,28,401,3,981.51,2944.5299999999997,0
28_2,28,431,2,310.37,620.74,0
28_3,28,351,2,163.48,326.96,0
29_1,29,493,2,735.71,1471.42,0
29_2,29,133,3,921.69,2765.07,0
29_3,29,82,1,576.17,576.17,0
29_4,29,77,2,281.4,562.8,0
30_1,30,29,1,740.64,740.64,0
31_1,31,316,3,110.01,330.03000000000003,0
32_1,32,452,3,953.5,2860.5,0
33_1,33,336,2,743.59,1487.18,0
34_1,34,262,3,817.72,2453.16,0
34_2,34,282,1,560.88,560.88,0
35_1,35,326,2,587.32,1174.64,0
36_1,36,360,2,147.21,294.42,0
37_1,37,443,1,131.14,131.14,0
38_1,38,301,1,762.87,762.87,0
39_1,39,344,2,503.93,1007.86,0
40_1,40,172,3,151.19,453.57,0
40_2,40,448,3,708.44,2125.32,0
40_3,40,81,2,406.83,813.66,0
40_4,40,104,2,145.91,291.82,0
40_5,40,8,2,596.38,1192.76,0
41_1,41,460,3,867.07,2601.21,0
41_2,41,173,3,103.16,309.48,0
41_3,41,260,3,318.46,955.3799999999999,0
41_4,41,143,1,23.07,23.07,0
42_1,42,230,3,399.37,1198.1100000000001,0
42_2,42,29,3,740.64,2221.92,0
42_3,42,89,1,331.31,331.31,0
42_4,42,147,2,712.25,1424.5,0
43_1,43,151,2,482.63,965.26,0
43_2,43,294,3,483.14,1449.42,0
44_1,44,296,1,91.96,91.96,0
45_1,45,331,3,260.99,782.97,0
45_2,45,232,2,409.08,818.16,0
46_1,46,149,2,406.39,812.78,0
46_2,46,151,3,482.63,1447.8899999999999,0
46_3,46,495,2,203.06,406.12,0
46_4,46,63,1,477.33,477.33,0
46_5,46,69,1,745.15,745.15,0
47_1,47,195,3,872.57,2617.71,0
