order_id,customer_id,order_date,order_status,payment_method,shipping_method,shipping_cost,tax_amount,discount_amount,total_amount,created_at,updated_at
1,810,2026-01-07 17:29:05,Pending,PayPal,Next Day,6.12,344.78,33.71,4626.97,2026-01-07 17:29:05,2026-01-07 17:29:05
2,839,2025-03-10 17:12:50,Completed,Credit Card,Express,10.53,226.34,28.8,3037.29,2025-03-10 17:12:50,2025-03-10 17:12:50
3,4079,2026-01-27 16:27:28,Completed,Credit Card,Express,6.58,209.29,0.0,2831.97,2026-01-27 16:27:28,2026-01-27 16:27:28
4,1957,2025-08-22 19:53:32,Pending,Credit Card,Next Day,4.17,46.43,0.0,630.92,2025-08-22 19:53:32,2025-08-22 19:53:32
5,3801,2025-04-08 16:37:13,Cancelled,Gift Card,Express,3.19,368.21,0.0,4974.02,2025-04-08 16:37:13,2025-04-08 16:37:13
6,4961,2025-06-20 18:07:14,Completed,Credit Card,Next Day,1.13,357.73,17.75,4812.69,2025-06-20 18:07:14,2025-06-20 18:07:14
7,4463,2025-02-19 13:45:54,Pending,Gift Card,Express,18.94,350.28,36.67,4711.04,2025-02-19 13:45:54,2025-02-19 13:45:54
8,3826,2025-12-18 02:33:45,Cancelled,Debit Card,Next Day,16.24,171.91,0.0,2336.97,2025-12-18 02:33:45,2025-12-18 02:33:45
9,3117,2025-11-02 18:11:53,Pending,Debit Card,Standard,5.81,497.82,0.0,6726.32,2025-11-02 18:11:53,2025-11-02 18:11:53
10,3624,2025-11-29 05:01:13,Pending,Gift Card,Express,8.07,425.39,0.0,5750.85,2025-11-29 05:01:13,2025-11-29 05:01:13
11,2829,2026-01-04 21:07:34,Completed,Debit Card,Next Day,21.99,207.48,0.0,2822.95,2026-01-04 21:07:34,2026-01-04 21:07:34
12,3291,2025-02-28 04:07:47,Completed,Debit Card,Express,10.97,58.86,14.42,791.14,2025-02-28 04:07:47,2025-02-28 04:07:47
13,1334,2025-08-26 17:01:59,Cancelled,Debit Card,Standard,2.4,39.24,0.0,532.08,2025-08-26 17:01:59,2025-08-26 17:01:59
14,2609,2025-03-13 18:07:01,Completed,Credit Card,Next Day,13.45,42.73,0.0,590.36,2025-03-13 18:07:01,2025-03-13 18:07:01
15,3684,2025-03-30 23:53:17,Completed,Gift Card,Next Day,11.12,131.3,0.0,1783.65,2025-03-30 23:53:17,2025-03-30 23:53:17
16,3370,2025-03-28 19:17:03,Completed,Gift Card,Express,6.58,106.74,49.65,1397.86,2025-03-28 19:17:03,2025-03-28 19:17:03
17,900,2025-10-27 01:42:32,Returned,Credit Card,Next Day,19.83,37.39,16.36,508.29,2025-10-27 01:42:32,2025-10-27 01:42:32
18,693,2025-10-19 13:08:04,Completed,Credit Card,Next Day,17.2,491.09,1.92,6644.96,2025-10-19 13:08:04,2025-10-19 13:08:04
19,1098,2025-09-26 17:17:22,Completed,Credit Card,Next Day,15.68,206.24,0.0,2799.95,2025-09-26 17:17:22,2025-09-26 17:17:22
20,1810,2025-12-19 17:40:48,Completed,PayPal,Express,20.35,232.16,14.13,3140.4,2025-12-19 17:40:48,2025-12-19 17:40:48
21,3251,2025-08-25 10:59:26,Returned,PayPal,Standard,10.86,36.1,0.0,498.19,2025-08-25 10:59:26,2025-08-25 10:59:26
22,1718,2025-04-26 18:39:47,Pending,Credit Card,Express,17.2,289.33,0.0,3923.12,2025-04-26 18:39:47,2025-04-26 18:39:47
23,4293,2025-09-20 11:03:47,Completed,Gift Card,Next Day,16.42,58.13,0.0,801.18,2025-09-20 11:03:47,2025-09-20 11:03:47
24,408,2026-01-17 14:33:58,Completed,Gift Card,Next Day,9.81,185.94,0.0,2519.94,2026-01-17 14:33:58,2026-01-17 14:33:58
25,2051,2025-11-29 20:48:05,Completed,Debit Card,Express,24.23,292.02,0.0,3966.45,2025-11-29 20:48:05,2025-11-29 20:48:05
26,1433,2025-03-14 10:12:21,Completed,Debit Card,Next Day,2.84,230.57,0.0,3115.48,2025-03-14 10:12:21,2025-03-14 10:12:21
27,3321,2026-01-08 14:30:59,Pending,Gift Card,Express,15.03,118.6,0.0,1616.09,2026-01-08 14:30:59,2026-01-08 14:30:59
28,4924,2025-03-17 10:48:37,Completed,Gift Card,Standard,14.06,311.38,0.0,4217.67,2025-03-17 10:48:37,2025-03-17 10:48:37
29,1552,2025-03-12 00:47:44,Pending,Gift Card,Express,6.52,430.04,0.0,5812.02,2025-03-12 00:47:44,2025-03-12 00:47:44
30,4729,2025-11-11 18:15:06,Completed,Gift Card,Standard,14.31,59.25,0.0,814.2,2025-11-11 18:15:06,2025-11-11 18:15:06
31,2237,2025-07-10 09:11:14,Cancelled,Debit Card,Standard,15.12,26.4,0.0,371.55,2025-07-10 09:11:14,2025-07-10 09:11:14
32,680,2025-03-30 21:27:59,Pending,Credit Card,Next Day,8.33,228.84,0.0,3097.67,2025-03-30 21:27:59,2025-03-30 21:27:59
33,4420,2025-05-18 06:03:47,Completed,PayPal,Express,13.39,118.97,41.91,1577.63,2025-05-18 06:03:47,2025-05-18 06:03:47
34,4923,2025-11-06 02:17:02,Completed,PayPal,Express,8.29,241.12,0.0,3263.45,2025-11-06 02:17:02,2025-11-06 02:17:02
35,424,2026-01-02 06:08:31,Completed,Credit Card,Next Day,2.56,93.97,0.0,1271.17,2026-01-02 06:08:31,2026-01-02 06:08:31
36,368,2025-09-14 05:55:55,Completed,Debit Card,Standard,5.75,23.55,12.37,311.35,2025-09-14 05:55:55,2025-09-14 05:55:55
37,109,2025-07-30 01:53:45,Pending,Gift Card,Next Day,10.02,10.49,43.83,107.82,2025-07-30 01:53:45,2025-07-30 01:53:45
38,4069,2026-01-13 08:33:25,Completed,Gift Card,Standard,0.37,61.03,30.24,794.03,2026-01-13 08:33:25,2026-01-13 08:33:25
39,2606,2025-09-25 08:58:14,Pending,Gift Card,Standard,20.79,80.63,39.24,1070.04,2025-09-25 08:58:14,2025-09-25 08:58:14
40,2202,2025-12-05 00:08:53,Pending,Debit Card,Express,11.47,390.17,0.0,5278.77,2025-12-05 00:08:53,2025-12-05 00:08:53
41,1311,2025-11-26 13:38:39,Completed,Gift Card,Next Day,6.96,311.13,0.0,4207.23,2025-11-26 13:38:39,2025-11-26 13:38:39
42,328,2025-12-29 19:19:31,Completed,Gift Card,Next Day,9.84,414.07,0.0,5599.75,2025-12-29 19:19:31,2025-12-29 19:19:31
43,2061,2025-06-23 13:40:19,Completed,Credit Card,Express,19.28,193.17,0.0,2627.13,2025-06-23 13:40:19,2025-06-23 13:40:19
44,178,2025-11-13 19:53:59,Completed,Debit Card,Standard,20.24,7.36,4.77,114.79,2025-11-13 19:53:59,2025-11-13 19:53:59
45,3811,2025-04-02 02:18:08,Cancelled,Gift Card,Next Day,6.25,128.09,0.0,1735.47,2025-04-02 02:18:08,2025-04-02 02:18:08
46,4171,2025-05-24 00:07:54,Pending,PayPal,Standard,19.19,311.14,0.0,4219.6,2025-05-24 00:07:54,2025-05-24 00:07:54
47,3129,2025-11-27 03:16:51,Completed,Gift Card,Standard,6.7,319.5,0.0,4319.9,2025-11-27 03:16:51,2025-11-27 03:16:51
48,3208,2025-10-29 22:26:47,Completed,PayPal,Express,11.53,478.24,0.0,6467.71,2025-10-29 22:26:47,2025-10-29 22:26:47
49,3568,2025-04-24 16:25:24,Completed,Credit Card,Express,3.18,74.49,0.0,1008.78,2025-04-24 16:25:24,2025-04-24 16:25:24
50,1466,2025-12-29 14:56:09,Completed,Gift Card,Standard,0.98,38.04,0.0,514.49,2025-12-29 14:56:09,2025-12-29 14:56:09
51,1205,2026-01-16 06:42:30,Completed,Gift Card,Express,0.23,771.65,0.0,10417.51,2026-01-16 06:42:30,2026-01-16 06:42:30
52,3118,2025-12-23 02:16:37,Completed,Debit Card,Next Day,16.26,400.95,0.0,5429.1,2025-12-23 02:16:37,2025-12-23 02:16:37
53,2993,2025-02-26 04:23:19,Returned,Debit Card,Next Day,15.11,395.19,0.0,5350.15,2025-02-26 04:23:19,2025-02-26 04:23:19
54,3602,2025-11-11 10:21:40,Completed,Gift Card,Standard,7.94,103.46,0.0,1404.65,2025-11-11 10:21:40,2025-11-11 10:21:40
55,2552,2025-05-20 13:20:17,Completed,PayPal,Standard,17.35,68.59,0.0,943.3,2025-05-20 13:20:17,2025-05-20 13:20:17
56,319,2026-01-15 19:07:36,Completed,Gift Card,Next Day,3.91,59.58,0.0,808.3,2026-01-15 19:07:36,2026-01-15 19:07:36
57,191,2025-04-18 12:53:29,Completed,Credit Card,Standard,6.86,259.5,43.4,3466.74,2025-04-18 12:53:29,2025-04-18 12:53:29
58,3704,2025-02-06 16:24:45,Completed,Gift Card,Express,14.03,218.29,0.0,2960.99,2025-02-06 16:24:45,2025-02-06 16:24:45
59,2482,2025-04-29 19:56:54,Completed,PayPal,Express,4.46,270.4,0.0,3654.86,2025-04-29 19:56:54,2025-04-29 19:56:54
60,200,2025-09-08 03:56:22,Completed,Gift Card,Express,14.39,599.66,30.24,8079.62,2025-09-08 03:56:22,2025-09-08 03:56:22
61,3585,2025-02-24 02:00:47,Completed,PayPal,Standard,2.28,88.38,7.32,1188.14,2025-02-24 02:00:47,2025-02-24 02:00:47
62,1750,2025-09-02 02:50:47,Completed,Credit Card,Standard,12.79,122.79,0.0,1670.5,2025-09-02 02:50:47,2025-09-02 02:50:47
63,303,2025-02-09 19:26:22,Completed,Credit Card,Standard,14.0,487.92,0.0,6600.95,2025-02-09 19:26:22,2025-02-09 19:26:22
64,1093,2026-02-02 08:32:04,Pending,Debit Card,Next Day,1.95,371.58,0.0,5018.25,2026-02-02 08:32:04,2026-02-02 08:32:04
65,2031,2025-10-28 08:27:39,Pending,Gift Card,Next Day,11.04,265.68,0.0,3597.67,2025-10-28 08:27:39,2025-10-28 08:27:39
66,2682,2025-06-16 20:43:25,Cancelled,Debit Card,Standard,0.63,435.66,0.0,5882.08,2025-06-16 20:43:25,2025-06-16 20:43:25
67,2246,2025-11-30 00:49:44,Completed,PayPal,Express,9.36,18.5,49.77,209.34,2025-11-30 00:49:44,2025-11-30 00:49:44
68,354,2025-10-30 03:40:04,Completed,Credit Card,Next Day,7.76,307.63,0.0,4160.78,2025-10-30 03:40:04,2025-10-30 03:40:04
69,4976,2025-02-28 14:16:11,Completed,Credit Card,Next Day,6.87,66.93,0.0,910.44,2025-02-28 14:16:11,2025-02-28 14:16:11
70,4421,2026-01-25 20:47:57,Completed,Credit Card,Next Day,20.58,183.24,46.38,2447.98,2026-01-25 20:47:57,2026-01-25 20:47:57
71,353,2025-04-13 06:38:11,Completed,Credit Card,Standard,9.24,224.17,0.0,3035.59,2025-04-13 06:38:11,2025-04-13 06:38:11
72,324,2025-10-13 13:34:37,Cancelled,PayPal,Standard,10.49,364.36,2.8,4926.53,2025-10-13 13:34:37,2025-10-13 13:34:37
73,4536,2025-11-23 11:15:40,Completed,Debit Card,Standard,16.38,131.07,16.63,1769.18,2025-11-23 11:15:40,2025-11-23 11:15:40
74,2958,2025-03-21 05:49:50,Cancelled,PayPal,Next Day,18.05,307.64,0.0,4171.23,2025-03-21 05:49:50,2025-03-21 05:49:50
75,1498,2025-07-07 23:10:26,Pending,Credit Card,Standard,4.82,294.78,7.38,3977.01,2025-07-07 23:10:26,2025-07-07 23:10:26
76,1336,2025-04-26 16:26:48,Completed,PayPal,Next Day,12.64,169.35,0.0,2298.85,2025-04-26 16:26:48,2025-04-26 16:26:48
77,1430,2025-06-13 12:20:51,Completed,Debit Card,Standard,8.54,117.94,0.0,1600.74,2025-06-13 12:20:51,2025-06-13 12:20:51
78,3907,2025-05-02 17:41:32,Completed,Gift Card,Standard,2.91,176.57,0.0,2386.61,2025-05-02 17:41:32,2025-05-02 17:41:32
79,3149,2025-04-30 16:44:27,Completed,Credit Card,Standard,19.72,12.57,0.0,189.41,2025-04-30 16:44:27,2025-04-30 16:44:27
80,1991,2025-10-06 22:15:05,Completed,PayPal,Express,20.93,260.62,0.0,3539.3,2025-10-06 22:15:05,2025-10-06 22:15:05
81,3390,2025-05-19 22:06:08,Completed,Debit Card,Standard,6.97,102.32,0.0,1388.32,2025-05-19 22:06:08,2025-05-19 22:06:08
82,1025,2025-04-11 07:38:20,Cancelled,PayPal,Express,6.48,201.56,0.0,2727.5,2025-04-11 07:38:20,2025-04-11 07:38:20
83,2949,2025-08-14 14:47:24,Completed,Gift Card,Next Day,17.18,481.49,0.0,6517.3,2025-08-14 14:47:24,2025-08-14 14:47:24
84,1580,2025-10-03 11:01:30,Returned,Gift Card,Express,16.15,142.73,0.0,1942.98,2025-10-03 11:01:30,2025-10-03 11:01:30
85,3861,2025-03-15 05:47:12,Completed,Debit Card,Standard,12.83,31.33,0.0,435.83,2025-03-15 05:47:12,2025-03-15 05:47:12
86,690,2025-07-01 04:53:00,Cancelled,PayPal,Express,3.5,20.28,0.0,277.26,2025-07-01 04:53:00,2025-07-01 04:53:00
87,2897,2025-09-04 08:55:22,Completed,Credit Card,Express,17.53,237.12,0.0,3218.71,2025-09-04 08:55:22,2025-09-04 08:55:22
88,1083,2025-08-14 04:00:42,Completed,Credit Card,Standard,22.83,238.12,0.0,3237.43,2025-08-14 04:00:42,2025-08-14 04:00:42
89,2452,2025-03-01 06:08:22,Completed,Gift Card,Next Day,14.4,110.3,0.0,1503.48,2025-03-01 06:08:22,2025-03-01 06:08:22
90,4529,2025-05-04 20:44:41,Pending,Debit Card,Next Day,9.33,150.31,0.0,2038.53,2025-05-04 20:44:41,2025-05-04 20:44:41
91,3085,2025-02-28 07:56:56,Pending,Credit Card,Express,10.65,144.05,0.0,1955.35,2025-02-28 07:56:56,2025-02-28 07:56:56
92,3138,2025-09-14 11:20:31,Completed,PayPal,Express,22.16,382.49,47.14,5138.64,2025-09-14 11:20:31,2025-09-14 11:20:31
93,1785,2025-10-03 19:21:50,Pending,Credit Card,Standard,7.73,196.39,40.07,2618.92,2025-10-03 19:21:50,2025-10-03 19:21:50
94,2092,2025-10-27 10:12:42,Completed,PayPal,Standard,22.07,170.94,0.0,2329.76,2025-10-27 10:12:42,2025-10-27 10:12:42
95,1064,2025-12-12 10:55:52,Completed,PayPal,Standard,17.12,304.75,18.71,4112.52,2025-12-12 10:55:52,2025-12-12 10:55:52
96,1989,2025-09-25 10:47:05,Completed,Gift Card,Next Day,5.31,299.85,0.0,4053.3,2025-09-25 10:47:05,2025-09-25 10:47:05
97,1658,2026-01-24 06:58:23,Completed,Debit Card,Standard,10.0,9.45,0.0,137.59,2026-01-24 06:58:23,2026-01-24 06:58:23
98,1793,2025-07-17 22:19:18,Completed,Credit Card,Express,12.21,129.97,29.32,1737.51,2025-07-17 22:19:18,2025-07-17 22:19:18
99,3411,2025-03-21 03:19:38,Completed,Credit Card,Next Day,14.98,227.36,0.0,3084.35,2025-03-21 03:19:38,2025-03-21 03:19:38
100,3561,2025-12-13 13:16:39,Completed,Credit Card,Standard,7.55,76.85,0.0,1044.99,2025-12-13 13:16:39,2025-12-13 13:16:39
101,778,2025-09-15 15:18:29,Completed,Debit Card,Express,9.67,175.79,1.74,2381.12,2025-09-15 15:18:29,2025-09-15 15:18:29
102,3452,2025-12-03 17:05:04,Completed,Credit Card,Express,20.16,141.55,0.0,1931.03,2025-12-03 17:05:04,2025-12-03 17:05:04
103,2338,2025-06-23 21:33:06,Pending,Credit Card,Standard,7.98,390.71,0.0,5282.61,2025-06-23 21:33:06,2025-06-23 21:33:06
104,3324,2025-02-15 18:16:56,Completed,Gift Card,Express,19.28,600.74,0.0,8129.21,2025-02-15 18:16:56,2025-02-15 18:16:56
105,4277,2025-03-28 15:45:54,Pending,Gift Card,Next Day,9.32,118.06,0.0,1603.14,2025-03-28 15:45:54,2025-03-28 15:45:54
106,3564,2025-05-01 07:54:15,Completed,Gift Card,Next Day,2.0,157.84,0.0,2132.79,2025-05-01 07:54:15,2025-05-01 07:54:15
107,296,2025-12-15 21:28:05,Pending,Gift Card,Express,1.21,321.55,0.0,4342.08,2025-12-15 21:28:05,2025-12-15 21:28:05
108,4610,2025-06-09 11:00:27,Completed,Debit Card,Express,8.44,353.35,0.0,4778.71,2025-06-09 11:00:27,2025-06-09 11:00:27
109,1131,2025-05-23 07:11:19,Completed,Gift Card,Express,7.44,144.5,0.0,1958.22,2025-05-23 07:11:19,2025-05-23 07:11:19
110,3281,2025-10-14 10:24:28,Completed,Gift Card,Standard,4.38,35.48,0.0,483.42,2025-10-14 10:24:28,2025-10-14 10:24:28
111,3079,2025-03-04 12:57:41,Completed,Gift Card,Express,8.63,214.19,0.0,2900.15,2025-03-04 12:57:41,2025-03-04 12:57:41
